department;region;district_region;district_city;city_type;city;street;street_type;hous;post_index;partner;status;register;edrpou;address;partner name;id_terminal;koatu;tax_id;koatu2
1330084;Київська;Вишгородський;;с.;Хотянівка;Валова;вулиця;2-В;7363;justin;;231/06/05 від 25.06.2018;42275391;07363, Київська обл., Вишгородський район, село Хотянівка, ВУЛИЦЯ ВАЛОВА, будинок 2-В;85;7211900085;3221888801;15801448;
1330085;Харківська;;Шевченківський;м.;Харків;Перемоги;проспект;64;61204;justin;;179/06/05 від 07.06.2018;42256452;61204, Харківська обл., місто Харків, Шевченківський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 64;528;7511209528;6310136300;15801392;
1330086;Харківська;;Київський;м.;Харків;Дружби народів;вулиця;279-А;61183;justin;;179/06/05 від 07.06.2018;42256468;61183, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 279-А;87;7511202087;6310136600;15801393;
1330087;Харківська;;Слобідський;м.;Харків;Героїв Сталінграду;проспект;171;61096;justin;;179/06/05 від 07.06.2018;42256473;61096, Харківська обл., місто Харків, Слобідський район, ПРОСПЕКТ ГЕРОЇВ СТАЛІНГРАДУ, будинок 171;89;7511207089;6310136900;15801394;
1330088;Дніпропетровська;;Новокодацький;м.;Дніпро;Парусний;провулок;7;49018;justin;;231/06/05 від 25.06.2018;42279256;49018, Дніпропетровська обл., м.Дніпро, Новокодацький р-н., провулок Парусний, 7;90;7510407605;1210138100;15801449;
1330089;;;Дніпровський;м.;Київ;Дарницький;бульвар;8-А;02192;justin;;179/06/05 від 07.06.2018;42256489;02192, м.Київ, Дніпровський район, БУЛЬВАР ДАРНИЦЬКИЙ, будинок 8-А;92;7100104092;8036600000;15801395;
1330090;;;Шевченківський;м.;Київ;Дорогожицька;вулиця;2;04119;justin;;179/06/05 від 07.06.2018;42256494;04119, м.Київ, Шевченківський район, ВУЛИЦЯ ДОРОГОЖИЦЬКА, будинок 2;93;7100110093;8039100000;15801396;
1330091;;;Подільський;м.;Київ;Западинська;вулиця;15;04123;justin;;179/06/05 від 07.06.2018;42256503;04123, м.Київ, Подільський район, ВУЛИЦЯ ЗАПАДИНСЬКА, будинок 15;94;7100107094;8038500000;15801397;
1330092;;;Деснянський;м.;Київ;Карельський;провулок;3;02094;justin;;179/06/05 від 07.06.2018;42256515;02094, м.Київ, Деснянський район, ПРОВУЛОК КАРЕЛЬСЬКИЙ, будинок 3;95;7100104095;8036400000;15801398;
1330093;;;Оболонський;м.;Київ;Маршала Малиновського;вулиця;34;04210;justin;;179/06/05 від 07.06.2018;42256520;04210, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 34;96;7100105096;8038000000;15801399;
1330094;;;Оболонський;м.;Київ;Маршала Малиновського;вулиця;5;04212;justin;;179/06/05 від 07.06.2018;42256536;04212, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 5;97;7100105097;8038000000;15801400;
1330095;;;Дніпровський;м.;Київ;Митрополита Андрея Шептицького;вулиця;4;02002;justin;;179/06/05 від 07.06.2018;42256541;02002, м.Київ, Дніпровський район, ВУЛИЦЯ МИТРОПОЛИТА АНДРЕЯ ШЕПТИЦЬКОГО, будинок 4;98;7100104098;8036600000;15801401;
1330096;Чернігівська;;;м.;Ніжин;Шевченка;вулиця;21-А;16600;justin;;179/06/05 від 07.06.2018;42256557;16600, Чернігівська обл., м.Ніжин, вул. Шевченка, 21-А;568;7607800568;7410400000;15801402;
1330097;Черкаська;;Придніпровський;м.;Черкаси;Надпільна;вулиця;411;18007;justin;;231/06/05 від 25.06.2018;42279265;18007, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ НАДПІЛЬНА, будинок 411;100;7201101100;7110136400;15801450;
1330098;Одеська;;Київський;м.;Одеса;ФОНТАНСЬКА ДОРОГА;вулиця;17/19;65009;justin;;231/06/05 від 25.06.2018;42279270;65009, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ ФОНТАНСЬКА ДОРОГА, будинок 17/19;566;7409703566;5110136900;15801451;
1330099;Полтавська;;Автозаводський;м.;Кременчуг;Київська;вулиця;66-Г;39631;justin;;231/06/05 від 25.06.2018;42279286;39631, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ КИЇВСЬКА, будинок 66-Г;102;7201601102;5310436100;15801452;
1330100;Київська;Білоцерківський;;м.;Біла Церква;Героїв Небесної Сотні;вулиця;2-А;9117;justin;;231/06/05 від 25.06.2018;42284008;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ ГЕРОЇВ НЕБЕСНОЇ СОТНІ, будинок 2-А;103;7201700103;3210300000;15801453;
1330101;Київська;Таращанський;;м.;Тараща;Богдана Хмельницького;вулиця;6;9502;justin;;231/06/05 від 25.06.2018;42279291;09502, Київська обл., Таращанський район, місто Тараща, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 6;104;7201900104;3224410100;15801454;
1330102;Київська;Бориспільський;;с.;Щасливе;Харківське Шосе;вулиця;15;8325;justin;;231/06/05 від 25.06.2018;42275407;08325, Київська обл., Бориспільський район, село Щасливе, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ, будинок 15;105;7202800105;3220888001;15801455;
1330103;Київська;Броварський;;м.;Гоголів;Київська;вулиця;167-Г;7452;justin;0;179/06/05 від 07.06.2018;42256562;07452, Київська обл., Броварський район, село Гоголів, ВУЛИЦЯ КИЇВСЬКА, будинок 167-Г;106;7203700106;3221281601;15801403;
1330104;Київська;Броварський;;с.;Погреби;Соборна;вулиця;2;7416;justin;;179/06/05 від 07.06.2018;42256578;07416, Київська обл., Броварський район, село Погреби, ВУЛИЦЯ СОБОРНА, будинок 2;107;7203900107;3221286401;15801404;
1330105;;;Голосіївський;м.;Київ;Цілинна;вулиця;2-А;3131;justin;;231/06/05 від 25.06.2018;42284013;03131, м.Київ, Голосіївський район, ВУЛИЦЯ ЦІЛИННА, будинок 2-А;259;7100101259;8036100000;15801456;
1330106;Київська;Києво-Святошинський;;с.;Софіївська Борщагівка;Сагайдачного;вулиця;20-А;8131;justin;;179/06/05 від 07.06.2018;42256583;08131, Київська обл., Києво-Святошинський район, село Софіївська Борщагівка, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 20-А;109;7204400109;3222486201;15801405;
1330107;Київська;Вишгородський;;с.;Нові Петрівці;Свято-Покровська;вулиця;222;7354;justin;;231/06/05 від 25.06.2018;42275412;07354, Київська обл., Вишгородський район, село Нові Петрівці, ВУЛИЦЯ СВЯТО-ПОКРОВСЬКА, будинок 222;110;7206300110;3221886001;15801457;
1330108;Київська;Броварський;;смт.;Калита;Миру;вулиця;45;7420;justin;;231/06/05 від 25.06.2018;42279307;07420, Київська обл., Броварський район, селище міського типу Калита, ВУЛИЦЯ МИРУ, будинок 45;111;7207000111;3221255500;15801458;
1330109;Київська;;;м.;Славутич;Привокзальна;площа;5;7100;justin;;179/06/05 від 07.06.2018;42256599;07100, Київська обл., місто Славутич, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 5;112;7207100112;3211500000;15801406;
1330110;Чернігівська;Городнянський;;м.;Городня;Чернігівська;вулиця;26-А;15100;justin;;179/06/05 від 07.06.2018;42256604;15100, Чернігівська обл., Городнянський район, місто Городня, ВУЛИЦЯ ЧЕРНІГІВСЬКА, будинок 26-А;113;7607300113;7421410100;15801407;
1330111;Чернігівська;Бахмацький;;м.;Бахмач;Ярослава Мудрого;вулиця;24;16500;justin;;231/06/05 від 25.06.2018;42279312;16500, Чернігівська обл., Бахмацький район, місто Бахмач, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 24;114;7607900114;7420310100;15801459;
1330112;Рівненська;;;м.;Рівне;Теліги Олени;вулиця;49;33005;justin;;231/06/05 від 25.06.2018;42275428;33005, Рівненська обл., місто Рівне, ВУЛИЦЯ ТЕЛІГИ ОЛЕНИ, будинок 49;115;7308200115;5610100000;15801460;
1330113;Львівська;;Залізничний;м.;Львів;Виговського;вулиця;100;79071;justin;;231/06/05 від 25.06.2018;42275433;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ВИГОВСЬКОГО, будинок 100;116;7308502116;4610136300;15801461;
1330114;Львівська;;;м.;Самбір;Валова;вулиця;24/1;81400;justin;;231/06/05 від 25.06.2018;42279328;81400, Львівська обл., місто Самбір, ВУЛИЦЯ ВАЛОВА, будинок 24/1;117;7308600117;4610900000;15801462;
1330115;Львівська;;;м.;Стрий;Богдана Хмельницького;вулиця;16;82402;justin;09.03.2021;231/06/05 від 25.06.2018;42279333;82402, Львівська обл., місто Стрий, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 16;118;7308800118;4611200000;15801463;
1330116;Хмельницька;Старокостянтинівський;;м.;Старокостянтинів;Миру;вулиця;19/2;31101;justin;;231/06/05 від 25.06.2018;42279349;31101, Хмельницька обл., місто Старокостянтинів, ВУЛИЦЯ МИРУ, будинок 19/2;119;7309100119;6810800000;15801464;
1330117;Хмельницька;;;м.;Кам`янець-Подільський;Нігинське Шосе;вулиця;41/1;32315;justin;;231/06/05 від 25.06.2018;42275449;32315, Хмельницька обл., місто Кам`янець-Подільський, ВУЛИЦЯ НІГИНСЬКЕ ШОСЕ, будинок 41/1;120;7309300120;6810400000;15801465;
1330118;Чернівецька;;;м.;Чернівці;Головна;вулиця;265-А;58032;justin;;231/06/05 від 25.06.2018;42279354;58032, Чернівецька обл., місто Чернівці, ВУЛИЦЯ ГОЛОВНА, будинок 265-А;121;7309400121;7310100000;15801466;
1330119;Одеська;;;м.;Теплодар;Піонерна;вулиця;1;65490;justin;;231/06/05 від 25.06.2018;42279360;65490, Одеська обл., місто Теплодар, ВУЛИЦЯ ПІОНЕРНА, будинок 1;122;7409800122;5111500000;15801467;
1330120;Миколаївська;;Заводський;м.;Миколаїв;Озерна;вулиця;17-Г;54037;justin;;231/06/05 від 25.06.2018;42279375;54037, Миколаївська обл., місто Миколаїв, Заводський район, ВУЛИЦЯ ОЗЕРНА, будинок 17-Г;123;7410001123;4810136300;15801468;
1330121;Миколаївська;;Центральний;м.;Миколаїв;Чкалова;вулиця;82;54055;justin;;231/06/05 від 25.06.2018;42279380;54055, Миколаївська обл., місто Миколаїв, Центральний район, ВУЛИЦЯ ЧКАЛОВА, будинок 82;124;7410004124;4810137200;15801469;
1330122;Дніпропетровська;;Довгинцівський;м.;Кривий Ріг;шосе  Дніпропетровське;;4, приміщення 1;50086;justin;;231/06/05 від 25.06.2018;42279396;50086, Дніпропетровська обл., м.Кривий Ріг, Довгинцівський р-н., шосе  Дніпропетровське, 4, приміщення 1;125;7410100125;1211036400;15801470;
1330123;Херсонська;;Суворовський;м.;Херсон;200-річчя Херсона;проспект;8;73034;justin;;179/06/05 від 07.06.2018;42256617;73034, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ 200-РІЧЧЯ ХЕРСОНА, будинок 8;126;7410203126;6510136900;15801408;
1330124;Херсонська;;Суворовський;м.;Херсон;Потьомкінська;вулиця;42/14;73003;justin;;179/06/05 від 07.06.2018;42256625;73003, Херсонська обл.  м.Херсон, Суворовський р-н., вул.Потьомкінська, 42/14;127;7410202127;6510136900;15801409;
1330125;Дніпропетровська;;Саксаганський;м.;Кривий Ріг;Володимира Великого;вулиця;24-Д;50071;justin;;231/06/05 від 25.06.2018;42279401;50071, Дніпропетровська обл., місто Кривий Ріг, Саксаганський район, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 24-Д;128;7510305128;1211037000;15801471;
1330126;Дніпропетровська;;Саксаганський;м.;Кривий Ріг;Вечірній;бульвар;33;50076;justin;;231/06/05 від 25.06.2018;42279417;50076, Дніпропетровська обл., місто Кривий Ріг, Саксаганський район, БУЛЬВАР ВЕЧІРНІЙ, будинок 33;129;7510305129;1211037000;15801472;
1330127;Запорізька;;Заводський;м.;Запоріжжя;Ринкова;вулиця;2;69009;justin;;179/06/05 від 07.06.2018;42256630;69009, Запорізька обл., місто Запоріжжя, Заводський район, ВУЛИЦЯ РИНКОВА, будинок 2;130;7510603130;2310136600;15801410;
1330128;Запорізька;;Шевченківський;м.;Запоріжжя;Базова;вулиця;11;69013;justin;;179/06/05 від 07.06.2018;42256646;69013, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ БАЗОВА, будинок 11;131;7510604131;2310137500;15801411;
1330129;Запорізька;;Дніпровський;м.;Запоріжжя;Вінтера/Кияшка;бульвар/вул.;30/3;69041;justin;;179/06/05 від 07.06.2018;42256651;69041, Запорізька обл., місто Запоріжжя, Дніпровський район, БУЛЬВАР ВІНТЕРА/ВУЛИЦЯ КИЯШКА, будинок 30/3;132;7510602132;2310136900;15801412;
1330130;Запорізька;;Хортицький;м.;Запоріжжя;Василя Сергієнка;вулиця;9;69097;justin;;231/06/05 від 25.06.2018;42275454;69097, Запорізька обл., місто Запоріжжя, Хортицький район, ВУЛИЦЯ ВАСИЛЯ СЕРГІЄНКА, будинок 9;133;7510606133;2310137300;15801473;
1330131;Запорізька;;;м.;Запоріжжя;Шевченка;бульвар;71;69091;justin;26.02.2021;231/06/05 від 25.06.2018;42279422;71630, Запорізька обл., м.Запоріжжя, Вознесенівський р-н., бульвар Шевченка, будинок 71;134;7510601790;2310137200;15801474;
1330132;Донецька;;Центральний;м.;Маріуполь;Металургів;проспект;112;87549;justin;;231/06/05 від 25.06.2018;42279438;87549, Донецька обл., місто Маріуполь, Центральний район, ПРОСПЕКТ МЕТАЛУРГІВ, будинок 112;135;7511104135;1412336300;15801475;
1330133;Харківська;;Немишлянський;м.;Харків;Краснодарська;вулиця;181-А;61176;justin;;179/06/05 від 07.06.2018;42256672;61176, Харківська обл., місто Харків, Немишлянський район, ВУЛИЦЯ КРАСНОДАРСЬКА, будинок 181-А;136;7511204136;6310138500;15801413;
1330134;Харківська;;Московський;м.;Харків;Павлова;вулиця;44-Б;61068;justin;;231/06/05 від 25.06.2018;42275464;61068, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ПАВЛОВА, будинок 44-Б;137;7511202137;6310137500;15801476;
1330135;Київська;Вишгородський;;м.;Лютіж;Визволителів;вулиця;56-А;7352;justin;;231/06/05 від 25.06.2018;42275475;07352, Київська обл., Вишгородський район, село Лютіж, ВУЛИЦЯ ВИЗВОЛИТЕЛІВ, будинок 56-А;138;7212000138;3221885201;15801477;
1330136;;;Дніпровський;м.;Київ;Березнева;вулиця;12, приміщення 460;02160;justin;;231/06/05 від 25.06.2018;42284029;02160, м.Київ, Дніпровський р-н., вул.Березнева, 12, приміщення 460;139;7100102139;8036600000;15801478;
1330137;Сумська;;;м.;Конотоп;Миру;проспект;3;41615;justin;;231/06/05 від 25.06.2018;42284034;41615, Сумська обл., м.Конотоп, проспект Миру, 3;753;7621400753;5910400000;15801479;
1330138;Чернігівська;;Деснянський;м.;Чернігів;Музична;вулиця;1;14014;justin;;231/06/05 від 25.06.2018;42275480;14014, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ МУЗИЧНА, будинок 1;141;7607201141;7410136300;15801480;
1330139;Чернівецька;;;м.;Чернівці;Героїв майдану;вулиця;71;58029;justin;;231/06/05 від 25.06.2018;42279443;58029, Чернівецька обл., місто Чернівці, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 71;142;7309400142;7310100000;15801481;
1330140;Херсонська;;Дніпровський;м.;Херсон;Залаегерсег;вулиця;18;73005;justin;;231/06/05 від 25.06.2018;42275496;73005, Херсонська обл., місто Херсон, Дніпровський район, ВУЛИЦЯ ЗАЛАЕГЕРСЕГ, будинок 18;143;7410201143;6510136300;15801482;
1330141;Вінницька;;;м.;Хмільник;Свободи;проспект;1;22000;justin;;231/06/05 від 25.06.2018;42279459;22000, Вінницька обл., місто Хмільник, ПРОСПЕКТ СВОБОДИ, будинок 1;145;7309000145;0510900000;15801483;
1330142;Київська;Обухівський;;м.;Васильків;Грушевського;вулиця;19;08601;justin;;231/06/05 від 25.06.2018;42279464;08601, Київська обл., Обухівський р-н., м.Васильків, вул.Грушевського, 19;567;7100105567;3210700000;15801484;
1330143;;;Солом`янський;м.;Київ;Гавела Вацлава;бульвар;54/26;3126;justin;;231/06/05 від 25.06.2018;42273771;03126, м.Київ, Солом`янський район, БУЛЬВАР ГАВЕЛА ВАЦЛАВА, будинок 54/26;148;7100109148;8038900000;15801485;
1330144;Одеська;;Суворовський;м.;Одеса;Семена Палія;вулиця;93-А;65123;justin;;231/06/05 від 25.06.2018;42279473;65123, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ СЕМЕНА ПАЛІЯ, будинок 93-А;149;7409704149;5110137600;15801486;
1330145;Одеська;;Приморський;м.;Одеса;Довженка;вулиця;4;65058;justin;;231/06/05 від 25.06.2018;42279485;65058, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ ДОВЖЕНКА, будинок 4;150;7409703150;5110137500;15801487;
1330146;;;Дарницький;м.;Київ;Бориса Гмирі;вулиця;5-А;02072;justin;0;231/06/05 від 25.06.2018;42275501;02072, м.Київ, Дарницький р-н., вул.Бориса Гмирі, 5-А;368;7100102368;8036300000;15801488;
1330147;;;Дарницький;м.;Київ;Миколи Бажана;проспект;30;2140;justin;;231/06/05 від 25.06.2018;42275517;02140, м.Київ, Дарницький район, ПРОСПЕКТ МИКОЛИ БАЖАНА, будинок 30;156;7100102156;8036300000;15801489;
1330148;;;Дніпровський;м.;Київ;Бойченка Олександра;вулиця;7;2192;justin;;231/06/05 від 25.06.2018;42275522;02192, м.Київ, Дніпровський район, ВУЛИЦЯ БОЙЧЕНКА ОЛЕКСАНДРА, будинок 7;157;7100104157;8036600000;15801490;
1330149;Тернопільська;;;м.;Тернопіль;Текстильна;вулиця;28-Ч;46020;justin;;231/06/05 від 25.06.2018;42279490;46020, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ТЕКСТИЛЬНА, будинок 28-Ч;161;7309600161;6110100000;15801491;
1330150;Херсонська;;Суворовський;м.;Херсон;49-ї Гвардійської Дивізії;вулиця;45;73039;justin;;231/06/05 від 25.06.2018;42279506;73039, Херсонська обл., місто Херсон, Суворовський район, ВУЛИЦЯ 49-Ї ГВАРДІЙСЬКОЇ ДИВІЗІЇ, будинок 45;162;7410203162;6510136900;15801492;
1330151;Івано-Франківська;;;м.;Івано-Франківськ;Північний ім Пушкіна;бульвар;2-А;76019;justin;;231/06/05 від 25.06.2018;42279511;76019, Івано-Франківська обл., місто Івано-Франківськ, БУЛЬВАР ПІВНІЧНИЙ ІМ. ПУШКІНА, будинок 2-А;163;7309500163;2610100000;15801493;
1330152;;;Оболонський;м.;Київ;Тимошенка;вулиця;19;4212;justin;;231/06/05 від 25.06.2018;42284043;04212, м.Київ, Оболонський район, ВУЛИЦЯ ТИМОШЕНКА, будинок 19;261;7100105261;8038000000;15801494;
1330153;;;Дніпровський;м.;Київ;Перова;бульвар;23-Б;2218;justin;;231/06/05 від 25.06.2018;42284055;02218, м.Київ, Дніпровський район, БУЛЬВАР ПЕРОВА, будинок 23-Б;257;7100104257;8036600000;15801495;
1330154;Київська;;;м.;Біла Церква;Сквирське Шосе;вулиця;230;9117;justin;;231/06/05 від 25.06.2018;42275826;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ СКВИРСЬКЕ ШОСЕ, будинок 230;166;7201700166;3210300000;15801496;
1330155;Київська;;;м.;Бровари;Шевченко;вулиця;10-В;7401;justin;;231/06/05 від 25.06.2018;42275538;07401, Київська обл., місто Бровари, ВУЛИЦЯ ШЕВЧЕНКО, будинок 10-В;167;7203300167;3210600000;15801497;
1330156;;;Деснянський;м.;Київ;Оноре де Бальзака;вулиця;42/20;2222;justin;;231/06/05 від 25.06.2018;42275543;02222, м.Київ, Деснянський район, ВУЛИЦЯ ОНОРЕ ДЕ БАЛЬЗАКА, будинок 42/20;168;7100103168;8036400000;15801498;
1330157;;;Дніпровський;м.;Київ;Верховної Ради;бульвар;17;2100;justin;;231/06/05 від 25.06.2018;42275559;02100, м.Київ, Дніпровський район, БУЛЬВАР ВЕРХОВНОЇ РАДИ, будинок 17;169;7100104169;8036600000;15801499;
1330158;;;Деснянський;м.;Київ;Миколи Закревського;вулиця;87;02232;justin;;231/06/05 від 25.06.2018;42275564;02232, м.Київ, Деснянський район, ВУЛИЦЯ МИКОЛИ ЗАКРЕВСЬКОГО, будинок 87;170;7100103170;8036400000;15801500;
1330159;;;Оболонський;м.;Київ;Йорданська;вулиця;20;04210;justin;;231/06/05 від 25.06.2018;42284060;04210, м.Київ, Оболонський район, ВУЛИЦЯ ЙОРДАНСЬКА, будинок 20;171;7100105171;8038000000;15801501;
1330160;Харківська;;Московський;м.;Харків;Тракторобудівників;проспект;128-В;61121;justin;;231/06/05 від 25.06.2018;42275578;61121, Харківська обл., місто Харків, Московський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 128-В;296;7511203296;6310137500;15801502;
1330161;;;Деснянський;м.;Київ;Академіка Курчатова;вулиця;19-А;02166;justin;;231/06/05 від 25.06.2018;42275585;02166, м.Київ, Деснянський район, ВУЛИЦЯ АКАДЕМІКА КУРЧАТОВА, будинок 19-А;173;7100103173;8036400000;15801503;
1330162;;;Деснянський;м.;Київ;Курчатова;вулиця;5;02166;justin;;231/06/05 від 25.06.2018;42275590;02166, м.Київ, Деснянський район, ВУЛИЦЯ КУРЧАТОВА, будинок 5;174;7100103174;8036400000;15801504;
1330163;;;Дніпровський;м.;Київ;Марганецька;вулиця;22;2092;justin;;231/06/05 від 25.06.2018;42284374;02092, м.Київ, Дніпровський район, ВУЛИЦЯ МАРГАНЕЦЬКА, будинок 22;175;7100104175;8036600000;15801505;
1330164;;;Дніпровський;м.;Київ;Петра Запорожця;вулиця;21;02125;justin;;231/06/05 від 25.06.2018;42284076;02125, м.Київ, Дніпровський район, ВУЛИЦЯ ПЕТРА ЗАПОРОЖЦЯ, будинок 21;176;7100104176;8036600000;15801506;
1330165;;;Шевченківський;м.;Київ;Печенізька;вулиця;1/7А;04107;justin;;231/06/05 від 25.06.2018;42275606;04107, м.Київ, Шевченківський район, ВУЛИЦЯ ПЕЧЕНІЗЬКА, будинок 1/7А;177;7100110177;8039100000;15801507;
1330166;Вінницька;;;м.;Вінниця;Гагаріна;площа;2;21018;justin;;231/06/05 від 25.06.2018;42275611;21018, Вінницька обл., місто Вінниця, ПЛОЩА ГАГАРІНА, будинок 2;152;7200202152;0510100000;15801508;
1330167;;;Подільський;м.;Київ;Свободи;проспект;26-Б;04215;justin;;231/06/05 від 25.06.2018;42275627;04215, м.Київ, Подільський р-н., проспект Свободи, 26-Б;179;7100107613;8038500000;15801509;
1330168;;;Подільський;м.;Київ;Правди;проспект;66;04208;justin;;231/06/05 від 25.06.2018;42275632;04208, м.Київ, Подільський район, ПРОСПЕКТ ПРАВДИ, будинок 66;180;7100107180;8038500000;15801510;
1330169;Київська;Броварський;;смт.;Калинівка;Чернігівська;вулиця;12;8623;justin;;231/06/05 від 25.06.2018;42275648;08623, Київська обл., Броварський район, селище міського типу Калинівка, ВУЛИЦЯ ЧЕРНІГІВСЬКА, будинок 12;181;7205800181;3221255600;15801511;
1330170;Київська;Білоцерківський;;м.;Узин;Івана богуна;вулиця;21-А;9161;justin;;231/06/05 від 25.06.2018;42279527;09161, Київська обл., Білоцерківський район, місто Узин, ВУЛИЦЯ ІВАНА БОГУНА, будинок 21-А;182;7202200182;3220410500;15801512;
1330171;Київська;;;м.;Березань;Шевченків Шлях;вулиця;140-А;7540;justin;;231/06/05 від 25.06.2018;42275653;07540, Київська обл., місто Березань, ВУЛИЦЯ ШЕВЧЕНКІВ ШЛЯХ, будинок 140-А;183;7203100183;3210400000;15801513;
1330172;Київська;Васильківський;;смт.;Гребінки;Київська;вулиця;99;8662;justin;;231/06/05 від 25.06.2018;42275669;08662, Київська обл., Васильківський район, селище міського типу Гребінки, ВУЛИЦЯ КИЇВСЬКА, будинок 99;184;7206000184;3221455500;15801514;
1330173;Черкаська;;Придніпровський;м.;Черкаси;Гоголя;вулиця;582;18006;justin;;231/06/05 від 25.06.2018;42284081;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;185;7201101185;7110136400;15801515;
1330174;Вінницька;;;м.;Ладижин;Будівельників;вулиця;15;24320;justin;;231/06/05 від 25.06.2018;42284097;24320, Вінницька обл., місто Ладижин, ВУЛИЦЯ БУДІВЕЛЬНИКІВ, будинок 15;186;7200400186;0510600000;15801516;
1330175;Полтавська;;;м.;Миргород;Гоголя;вулиця;98/6;37600;justin;;231/06/05 від 25.06.2018;42284102;37600, Полтавська обл., місто Миргород, ВУЛИЦЯ ГОГОЛЯ, будинок 98/6;187;7201400187;5310900000;15801517;
1330176;Київська;Бориспільський;;с.;Гора;Калинова;вулиця;2;8324;justin;;231/06/05 від 25.06.2018;42275674;08324, Київська обл., Бориспільський район, село Гора, ВУЛИЦЯ КАЛИНОВА, будинок 2;188;7202900188;3220883201;15801518;
1330177;Одеська;;Суворовський;м.;Одеса;Героїв Оборони Одеси;вулиця;98-Б;65069;justin;;231/06/05 від 25.06.2018;42284118;65069, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕРОЇВ ОБОРОНИ ОДЕСИ, будинок 98-Б;189;7409704189;5110137600;15801519;
1330178;Вінницька;Гайсинський;;м.;Гайсин;1 Травня;вулиця;75;23700;justin;;231/06/05 від 25.06.2018;42284123;23700, Вінницька обл., м.Гайсин, вул.1-го Травня, 75;190;7200500601;0520810100;15801520;
1330179;Житомирська;Новоград-Волинський;;м.;Новоград-Волинський;Пушкіна;вулиця;6;11707;justin;;231/06/05 від 25.06.2018;42284139;11707, Житомирська обл., місто Новоград-Волинський, ВУЛИЦЯ ПУШКІНА, будинок 6;191;7200800191;1811000000;15801521;
1330180;Чернігівська;Ніжинський;;м.;Ніжин;Незалежності;вулиця;36/1;16600;justin;;231/06/05 від 25.06.2018;42284144;16600, Чернігівська обл., місто Ніжин, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 36/1;192;7607800192;7410400000;15801522;
1330181;Полтавська;;Автозаводський;м.;Кременчук;Олександра Халаменюка;вулиця;7;39600;justin;;231/06/05 від 25.06.2018;42284157;39600, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ ОЛЕКСАНДРА ХАЛАМЕНЮКА, будинок 7;193;7201601193;5310436100;15801523;
1330182;Харківська;;Московський;м.;Харків;Гвардійців-Широнінців;вулиця;42;61123;justin;;231/06/05 від 25.06.2018;42284170;61123, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ГВАРДІЙЦІВ-ШИРОНІНЦІВ, будинок 42;194;7511203194;6310137500;15801524;
1330183;Київська;Києво-Святошинський;;с.;Святопетрівське;Володимирська;вулиця;2-Г;8141;justin;;231/06/05 від 25.06.2018;42284186;08141, Київська обл., Києво-Святошинський район, село Святопетрівське, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 2-Г;195;7204500195;3222485801;15801525;
1330184;;;Дніпровський;м.;Київ;Амвросія Бучми;вулиця;1, приміщення 3;02152;justin;;231/06/05 від 25.06.2018;42279532;02152, м.Київ, Дніпровський р-н., вул.Амвросія Бучми, 1, приміщення 3;196;7100104614;8036600000;15801526;
1330185;Київська;;;м.;Фастів;Івана Ступака;вулиця;4;08500;justin;;231/06/05 від 25.06.2018;42275681;08500, Київська обл., місто Фастів, ВУЛИЦЯ ІВАНА СТУПАКА, будинок 4;197;7202300197;3211200000;15801527;
